ferc,eia
Public Service Company of Oklahoma,Public Service Co of Oklahoma
Public Service Electric and Gas Company,Public Service Electric&Gas Co
"Puget Sound Energy, Inc.",Puget Sound Energy Inc
"Rayburn Country Electric Cooperative, Inc.",
"RITELine Illinois, LLC",
Rochester Gas and Electric Corporation,
Rockland Electric Company,Rockland Electric Co
Safe Harbor Water Power Corporation,Safe Harbor
"Salmon River Electric Cooperative, Inc.",Salmon River Electric Coop Inc
San Diego Gas & Electric Company,San Diego Gas & Electric Co
Savannah Electric and Power Company,Savannah Electric & Power Co
"Sharyland Utilities, L.P.",Sharyland Utilities LP
Sierra Pacific Power Company d/b/a NV Energy,Sierra Pacific Power Co
Smarr EMC,Smarr EMC
Smoky Mountain Transmission LLC,
Somerset Rural Electric Cooperative Inc.,
"South Beloit Water, Gas and Electric Company",
South Carolina Electric & Gas Company,South Carolina Electric&Gas Co
"South Carolina Generating Company, Inc.",South Carolina Genertg Co Inc
"Southeast Chicago Energy Project, LLC",Southeast Chicago Energy Proj.
Southern California Edison Company,Southern California Edison Co
Southern California Water Company,Southern California Water Co
SOUTHERN ELECTRIC GENERATING COMPANY,Southern Electric Generatg Co
Southern Indiana Gas and Electric Company,
Southern Maryland Electric Cooperative,
"Southwest Power Pool, Inc.",
Southwestern Electric Power Company,Southwestern Electric Power Co
Southwestern Public Service Company,Southwestern Public Service Co
"Soyland Power Cooperative, Inc",
St. Joseph Light & Power Company,St Joseph Light & Power Co
"Startrans IO, LLC",
SU FERC L.L.C,
Sun River Electric Cooperative,
"Superior Water, Light and Power Company",Superior Water Light&Power Co
Susquehanna Electric Company,Susquehanna Electric Co
Sussex Rural Electric Cooperative,
"System Energy Resources, Inc.",
Talbot EMC,Talbot Elect Membership Coop
Tampa Electric Company,Tampa Electric Co
Terra Comfort Corporation,
Texas-New Mexico Power Company,Texas-New Mexico Power Co
THE ALLEGHENY GENERATING COMPANY,Allegheny Generating Co
The Dayton Power and Light Company,Dayton Power & Light Co
The Empire District Electric Company,Empire District Electric Co
The Morenci Water & Electric Company,Morenci Water & Electric Co
The Narragansett Electric Company,Narragansett Electric Co
THE POTOMAC EDISON COMPANY,The Potomac Edison Co
The United Illuminating Company,United Illuminating Co
The Walton E.M.C.,
"Toledo Edison Company, The",The Toledo Edison Co
Trans Bay Cable LLC,
Trans-Allegheny Interstate Line Company,
TransCanada Hydro NorthEast Inc.,"TransCanada Hydro Northeast Inc.,"
"Transource Missouri, LLC",
Trigen-Kansas City Energy Corporation,
Tucson Electric Power Company,Tucson Electric Power Co
TXU Electric Company,
TXU SESCO Company,
"UGI Utilities, Inc.","UGI Utilities, Inc"
UNION ELECTRIC COMPANY,Union Electric Co
"Unitil Energy Systems, Inc.",
UNITIL Power Corp.,UNITIL Power Corp
UNITIL Power Corp.,UNITIL Power Corp
"UNS Electric, Inc.",UNS Electric Inc
Upper Peninsula Power Company,Upper Peninsula Power Company
Valley Electric Association Inc.,Valley Electric Assn Inc
"Verde Energy USA, Inc.",
"Vermont Electric Cooperative, Inc.",
"Vermont Electric Power Company, Inc.",Vermont Electric Power Co Inc
"Vermont Electric Transmission Company, Inc.",
Vermont Transco LLC,
Vermont Yankee Nuclear Power Corporation,
Village of Morrisville Water and Light Department,
VIRGINIA ELECTRIC AND POWER COMPANY,
W.F. Wyman Unit No. 4 Composite Data 100%,
"Wabash Valley Energy Marketing, Inc.",
"Wabash Valley Power Association, Inc.",Wabash Valley Power Assn Inc
"Warren Power, LLC",Warren Power LLC
"Washington Electric Cooperative, Inc.",Washington Electric Coop Inc
Wayne-White Counties Electric Cooperative,
Wells Rural Electric Company,
Wellsboro Electric Company,
WEST PENN POWER COMPANY,West Penn Power Co
"Westar Energy, Inc.",Westar Energy Inc.
"Westar Generating, Inc.",
Western Massachusetts Electric Company,Western Massachusetts Electric Company
Wheeling Power Company,Wheeling Power Co
"White River Electric Association, Inc.",White River Electric Assn Inc
Wisconsin Electric Power Company,Wisconsin Electric Power Co
Wisconsin Power and Light Company,Wisconsin Power & Light Co
Wisconsin Public Service Corporation,Wisconsin Public Service Corp
Wisconsin River Power Company,Wisconsin River Power Co
Wolf Creek Nuclear Operating Corporation,
"Wolverine Power Supply Cooperative, Inc.",
"Yadkin, Inc.",Yadkin Inc
Yankee Atomic Electric Company,Yankee Atomic Electric Co
York Haven Power Company,York Haven Power Company LLC
