utility_id_pudl,utility_id_ferc1,utility_name_ferc1,utility_id_eia,utility_name_eia
97,160,"Duke Energy Progress, Inc.",3046,Duke Energy Progress - (NC)
98,284,Duquesne Light Company,,
99,336,"EAM Nelson Holding, LLC",,
100,402,"East Texas Electric Cooperative, Inc.",39347,"East Texas Electric Coop, Inc"
101,13,Eastern Edison Company,,
102,14,Edison Sault Electric Company,,
103,186,El Paso Electric Company,5701,El Paso Electric Co
104,321,"Electric Energy, Inc.",5748,Electric Energy Inc
105,158,Emera Maine,1179,Emera Maine
106,226,"Entergy Arkansas, Inc.",814,Entergy Arkansas Inc
107,231,"Entergy Gulf States Louisiana, L.L.C.",11241,Entergy Louisiana LLC
107,411,"Entergy Louisiana, LLC",11241,Entergy Louisiana LLC
107,362,"Entergy Louisiana, LLC",11241,Entergy Louisiana LLC
109,382,"entergy mississippi, llc",12685,Entergy Mississippi Inc
110,233,"entergy new orleans, llc",13478,Entergy New Orleans Inc
111,109,"Entergy Power Ventures, LP",,
112,408,"Entergy Power, LLC",,
113,234,"Entergy Texas, Inc.",55937,Entergy Texas Inc.
160,356,"evergy kansas south, inc.",10005,Kansas Gas & Electric Co
115,236,"EWO Marketing, LLC",,
116,15,Exeter & Hampton Electric Company,,
117,118,"Fall River Electric Cooperative, Inc",6169,Fall River Rural Elec Coop Inc
118,83,First Electric Cooperative Corporation,,
119,264,Fitchburg Gas and Electric Light Company,,
120,119,"Florida Keys Electric Cooperative Assoc., Inc.",6443,"Florida Keys El Coop Assn, Inc"
121,247,Florida Power & Light Company,6452,Florida Power & Light Co
122,120,"Flowell Electric Association, Inc.",,
123,295,Georgia Power Company,7140,Georgia Power Co
124,273,"Golden Spread Electric Cooperative, Inc.",7349,"Golden Spread Electric Cooperative, Inc"
125,266,Golden State Water Company,54710,Golden State Water Company
126,62,"Graham County Electric Cooperative, Inc.",,
127,16,Great Bay Power Corporation,,
128,313,Green Mountain Power Corp,7601,Green Mountain Power Corp
129,102,GRIDAMERICA LLC,,
130,296,Gulf Power Company,7801,Gulf Power Co
131,116,Hagerstown Light Department,,
132,253,Hardee Power Partners Limited,,
133,121,Harney Electric Cooperative,,
134,105,"Hawaii Electric Light Company, Inc.",8287,Hawaii Electric Light Co Inc
135,400,"Hawaiian Electric Company, Inc.",19547,Hawaiian Electric Co Inc
136,345,"Hermiston Generating Company, L.P.",8503,Hermiston Generating Co LP
137,17,Holyoke Power and Electric Company,,
138,18,Holyoke Water Power Company,,
139,122,Idaho County Light & Power Coop. Assoc. Inc.,,
140,216,Idaho Power Company,9191,Idaho Power Co
141,19,IES Utilities Inc.,,
142,20,Illinois Power Company,,
143,223,Illinois Power Generating Company,520,Illinois Power Generating Co
144,201,Indiana Michigan Power Company,9324,Indiana Michigan Power Co
145,409,Indiana-Kentucky Electric Corporation,9269,Indiana-Kentucky Electric Corp
146,279,Indianapolis Power & Light Company,9273,Indianapolis Power & Light Co
147,61,Inland Power & Light Company,,
148,333,International Transmission Company,,
148,442,International Transmission Company,,
150,220,Interstate Power and Light Company,9417,Interstate Power and Light Co
151,21,Interstate Power Company,,
152,22,Iowa-Illinois Gas and Electric Company,,
153,152,ISO New England Inc.,,
154,341,"ITC Great Plains, LLC",,
155,337,ITC Midwest LLC,,
156,173,Jersey Central Power & Light Company,9726,Jersey Central Power & Lt Co
157,23,Kanawha Valley Power Company,,
158,123,Kandiyohi  Power Cooperative,,
159,254,Kansas City Power & Light Company,10000,Kansas City Power & Light Co
161,255,KCP&L Greater Missouri Operations Company,56211,KCP&L Greater Missouri Operations Co
162,202,Kentucky Power Company,22053,Kentucky Power Co
163,210,Kentucky Utilities Company,10171,Kentucky Utilities Co
164,69,KeySpan Generation LLC,,
165,203,Kingsport Power Company,,
166,276,Liberty Utilities (Granite State Electric) Corp.,,
167,252,Lockhart Power Company,11118,Lockhart Power Co
168,24,"Long Sault, Inc.",,
169,209,Louisville Gas and Electric Company,11249,Louisville Gas & Electric Co
170,124,Lyon Rural Electric Cooperative,,
171,335,Madison Gas and Electric Company,11479,Madison Gas & Electric Co
172,213,"Maine Electric Power Company, Inc.",,
173,302,Maine Public Service Company,,
174,350,Maine Yankee Atomic Power Company,,
175,277,Massachusetts Electric Company,11804,Massachusetts Electric Co
176,25,"MAUI ELECTRIC COMPANY, LIMITED",11843,Maui Electric Co Ltd
177,125,McDonough Power Cooperative,,
178,319,"MDU Resources Group, Inc.",,
179,52,Medina Power Company,,
180,179,Metropolitan Edison Company,,
181,91,Michigan Electric Transmission Company (04/02),,
182,324,Michigan Electric Transmission Company LLC (10/06),,
183,95,Michigan Electric Transmission Company LLC (12/9/03),,
184,100,"Michigan Electric Transmission Company, LLC",,
185,251,MidAmerican Energy Company,12341,MidAmerican Energy Co
186,283,"Midcontinent Independent System Operator, Inc",,
187,360,"Midwest Electric Power, Inc",12159,Midwest Electric Power Inc
188,401,Midwest Energy Inc.,12524,Midwest Energy Inc
189,26,Midwest Power Systems Inc.,,
190,297,Mississippi Power Company,12686,Mississippi Power Co
191,238,MONONGAHELA POWER COMPANY,12796,Monongahela Power Co
192,27,"Montana Power Company, The",,
178,28,Montana-Dakota Utilities Company,12199,Montana-Dakota Utilities Co
194,29,Montaup Electric Company,,
195,126,"Moon Lake Electric Association, Inc.",12866,Moon Lake Electric Assn Inc
196,55,Moreau Manufacturing,,
197,106,"Mountainview Power Company, LLC",,
198,397,Mt. Carmel Public Utility Co,,
199,71,"Mt. Wheeler Power, Inc.",,
200,127,"Mt. Wheeler Power, Inc.",,
201,30,Nantahala Power and Light Company,,
202,426,Nantucket Electric Company,13206,Nantucket Electric Co
203,281,National Grid Generation LLC,56505,National Grid Generation LLC
204,301,"Nevada Power Company, d/b/a NV Energy",13407,Nevada Power Co
205,357,Nevada Sun-Peak Limited Partnership,,
206,304,New England Electric Transmission Corporation,,
207,306,"New England Hydro-Trans. Elec. Co., Inc.",,
208,305,New England Hydro-Transmission Corporation,,
209,274,New England Power Company,,
210,47,"New Hampshire Electric Cooperative, Inc.",,
211,352,"New Hampshire Transmission, LLC",,
212,154,New York Independent System Operator,,
213,215,New York State Electric & Gas Corporation,13511,New York State Elec & Gas Corp
214,56,"Newcorp Resources Electric Cooperative, Inc.",,
215,31,Newport Electric Corporation,,
216,275,Niagara Mohawk Power Corporation,,
217,32,North Atlantic Energy Corporation,,
218,82,"North Central Missouri Electric Cooperative, Inc.",,
219,427,"North Central Power Co., Inc.",13697,North Central Power Co Inc
220,128,North West Rural Electric Cooperative,,
221,85,Northeast Generation Company,,
222,208,Northern Indiana Public Service Company,13756,Northern Indiana Pub Serv Co
223,88,"Northern Maine Independent System Administrator, Inc",,
224,229,Northern States Power Company (Minnesota),13781,Northern States Power Co - Minnesota
225,228,Northern States Power Company (Wisconsin),,
226,315,NorthWestern Corporation,13902,NorthWestern Energy
228,315,NorthWestern Corporation,56815,NorthWestern Energy DGGS
229,399,Northwestern Wisconsin Electric Company,13815,Northwestern Wisconsin Elec Co
231,316,Ocean State Power,27769,Ocean State Power Co
232,317,"Ocean State Power, II",27770,Ocean State Power II
233,48,Oconto Electric Cooperative,13964,Oconto Electric Cooperative
234,174,Ohio Edison Company,,
235,204,Ohio Power Company,,
236,217,Ohio Valley Electric Corporation,14015,Ohio Valley Electric Corp
237,314,Oklahoma Gas and Electric Company,14063,Oklahoma Gas & Electric Co
238,287,Old Dominion Electric Cooperative,40229,Old Dominion Electric Coop
239,428,"Omya, Inc.",19794,Omya Inc
240,293,Oncor Electric Delivery Company LLC,,
241,190,"Orange and Rockland Utilities, Inc",,
242,129,"Oregon Trail Electric Consumers Coop, Inc.",,
243,272,Otter Tail Power Company,14232,Otter Tail Power Co
244,183,PACIFIC GAS AND ELECTRIC COMPANY,14328,Pacific Gas & Electric Co
245,329,Pacific Northwest Generating Cooperative,14323,Pacific Northwest Generating Coop
246,303,PacifiCorp,14354,PacifiCorp
247,338,"Path Allegheny Transmission Company, LLC",,
248,398,"Path West Virginia Transmission Company, L.L.C.",,
249,167,PECO Energy Company,,
250,178,Pennsylvania Electric Company,,
251,177,Pennsylvania Power Company,,
252,130,Penoyer Valley Electric Company,,
253,49,Peoples Electric Cooperative,,
254,33,"Pepperell Power Association, Limited Partnership",,
255,420,"Perryville Energy Partners, L.L.C",,
256,429,Pike County Light and Power Company,,
257,108,Pinnacle West Capital Corporation,,
258,111,Pinnacle West Marketing & Trading Co. LLC,,
259,414,Pioneer Power and Light Company,,
260,153,"PJM Interconnection, LLC",,
261,437,"PJM Settlement, Inc.",,
262,84,Platte-Clay Electric Cooperative Inc.,,
263,250,Portland General Electric Company,15248,Portland General Electric Co
264,290,Potomac Electric Power Company,,
265,267,PPL Electric Utilities Corporation,,
266,332,"Prairie Wind Transmission, LLC",,
267,261,PSEG Energy Resources & Trade LLC,,
268,90,PSEG Fossil LLC,15147,PSEG Fossil LLC
269,262,PSEG Nuclear LLC,15478,PSEG Nuclear LLC
270,86,PSEG Power LLC,15452,PSEG Power Connecticut LLC
271,87,PSEG Power New York Inc.,14294,PSEG Power New York Inc
272,227,Public Service Company of Colorado,15466,Public Service Co of Colorado
273,244,Public Service Company of New Hampshire,15472,Public Service Co of NH
274,263,Public Service Company of New Mexico,15473,Public Service Co of NM
275,205,Public Service Company of Oklahoma,15474,Public Service Co of Oklahoma
276,260,Public Service Electric and Gas Company,15477,Public Service Elec & Gas Co
277,162,"Puget Sound Energy, Inc.",15500,Puget Sound Energy Inc
278,50,"Rayburn Country Electric Cooperative, Inc.",,
279,141,"RITELine Illinois, LLC",,
280,214,Rochester Gas and Electric Corporation,16183,Rochester Gas & Electric Corp
281,191,Rockland Electric Company,,
282,311,Safe Harbor Water Power Corporation,59364,Safe Harbor
283,138,"Salmon River Electric Cooperative, Inc.",,
284,218,San Diego Gas & Electric Company,16609,San Diego Gas & Electric Co
285,35,Savannah Electric and Power Company,,
286,419,"Sharyland Utilities, L.P.",,
287,300,Sierra Pacific Power Company d/b/a NV Energy,17166,Sierra Pacific Power Co
288,73,Smarr EMC,,
289,344,Smoky Mountain Transmission LLC,,
290,132,Somerset Rural Electric Cooperative Inc.,,
291,36,"South Beloit Water, Gas and Electric Company",,
292,168,South Carolina Electric & Gas Company,17539,South Carolina Electric&Gas Company
293,351,"South Carolina Generating Company, Inc.",17554,"South Carolina Genertg Co, Inc"
294,112,"Southeast Chicago Energy Project, LLC",,
295,155,Southern California Edison Company,17609,Southern California Edison Co
296,133,Southern California Water Company,,
297,298,SOUTHERN ELECTRIC GENERATING COMPANY,,
298,242,Southern Indiana Gas and Electric Company,17633,Southern Indiana Gas & Elec Co
299,103,Southern Maryland Electric Cooperative,,
300,224,"Southwest Power Pool, Inc.",,
301,206,Southwestern Electric Power Company,17698,Southwestern Electric Power Co
302,230,Southwestern Public Service Company,17718,Southwestern Public Service Co
303,58,"Soyland Power Cooperative, Inc",,
304,34,St. Joseph Light & Power Company,,
305,320,"Startrans IO, LLC",,
306,436,SU FERC L.L.C,,
307,134,Sun River Electric Cooperative,,
308,395,"Superior Water, Light and Power Company",,
309,38,Susquehanna Electric Company,,
310,135,Sussex Rural Electric Cooperative,,
311,235,"System Energy Resources, Inc.",12465,"System Energy Resources, Inc"
312,96,Talbot EMC,,
313,157,Tampa Electric Company,18454,Tampa Electric Co
314,39,Terra Comfort Corporation,,
315,41,Texas-New Mexico Power Company,,
316,239,THE ALLEGHENY GENERATING COMPANY,,
317,211,The Dayton Power and Light Company,4922,Dayton Power & Light Co
318,249,The Empire District Electric Company,5860,Empire District Electric Co
319,68,The Morenci Water & Electric Company,,
320,278,The Narragansett Electric Company,,
321,240,THE POTOMAC EDISON COMPANY,,
322,299,The United Illuminating Company,19497,United Illuminating Co
323,93,The Walton E.M.C.,,
324,176,"Toledo Edison Company, The",,
325,330,Trans Bay Cable LLC,,
326,378,Trans-Allegheny Interstate Line Company,,
327,104,TransCanada Hydro NorthEast Inc.,50048,"TransCanada Hydro Northeast Inc.,"
328,343,"Transource Missouri, LLC",,
329,67,Trigen-Kansas City Energy Corporation,,
330,257,Tucson Electric Power Company,24211,Tucson Electric Power Co
331,40,TXU Electric Company,,
332,37,TXU SESCO Company,,
333,323,"UGI Utilities, Inc.",,
334,221,UNION ELECTRIC COMPANY,19436,Union Electric Co - (MO)
336,265,"Unitil Energy Systems, Inc.",,
337,269,UNITIL Power Corp.,19486,UNITIL Power Corp
338,42,UNITIL Power Corp.,19486,UNITIL Power Corp
339,258,"UNS Electric, Inc.",19728,"UNS Electric, Inc"
340,188,Upper Peninsula Power Company,19578,Upper Peninsula Power Company
341,346,Valley Electric Association Inc.,,
342,140,"Verde Energy USA, Inc.",55762,Verde Resources Corp
343,75,"Vermont Electric Cooperative, Inc.",,
344,308,"Vermont Electric Power Company, Inc.",,
345,43,"Vermont Electric Transmission Company, Inc.",,
346,270,Vermont Transco LLC,,
347,288,Vermont Yankee Nuclear Power Corporation,,
348,60,Village of Morrisville Water and Light Department,12989,Village of Morrisville - (VT)
349,164,VIRGINIA ELECTRIC AND POWER COMPANY,19876,Virginia Electric & Power Co
350,51,W.F. Wyman Unit No. 4 Composite Data 100%,,
351,181,"Wabash Valley Energy Marketing, Inc.",,
352,156,"Wabash Valley Power Association, Inc.",40211,"Wabash Valley Power Assn, Inc"
353,110,"Warren Power, LLC",,
354,74,"Washington Electric Cooperative, Inc.",20151,Washington Electric Coop - (VT)
355,78,Wayne-White Counties Electric Cooperative,,
356,347,Wells Rural Electric Company,,
357,89,Wellsboro Electric Company,20334,Wellsborough Electric Co
358,237,WEST PENN POWER COMPANY,20387,West Penn Power Co
359,225,"Westar Energy, Inc.",22500,Westar Energy Inc
359,348,"Westar Generating, Inc.",22500,Westar Energy Inc
360,245,Western Massachusetts Electric Company,56999,Western Massachusetts Electric Company
361,207,Wheeling Power Company,20521,Wheeling Power Co
362,137,"White River Electric Association, Inc.",20576,White River Electric Assn Inc
363,280,Wisconsin Electric Power Company,20847,Wisconsin Electric Power Co
364,219,Wisconsin Power and Light Company,20856,Wisconsin Power & Light Co
365,187,Wisconsin Public Service Corporation,20860,Wisconsin Public Service Corp
366,189,Wisconsin River Power Company,20863,Wisconsin River Power Company
367,94,Wolf Creek Nuclear Operating Corporation,20893,Wolf Creek Nuclear Optg Corp
368,259,"Wolverine Power Supply Cooperative, Inc.",20910,Wolverine Power Supply Coop
369,44,"Yadkin, Inc.",,
370,327,Yankee Atomic Electric Company,21083,Yankee Atomic Electric Co
371,379,York Haven Power Company,56065,York Haven Power Company LLC
